#CH_000_2a_2	CH_001_2a_2	CH_002_2a_2	CH_003_2a_2	GAMMA_2a_2	#CH_000_2a_2
-486.000000	-44.029999	-42.500000	-42.720001	-0.016125	-486.000000
-471.000000	-38.720001	-37.500000	-37.400002	-0.014179	-471.000000
-451.000000	-35.209999	-34.000000	-33.820000	-0.012894	-451.000000
-431.000000	-32.130001	-30.000000	-30.240000	-0.011766	-431.000000
-426.000000	-21.379999	-20.000000	-19.459999	-0.007832	-426.000000
-416.000000	-20.379999	-18.500000	-18.580000	-0.007462	-416.000000
-396.000000	-18.110001	-17.000000	-16.840000	-0.006630	-396.000000
-381.000000	-16.320000	-15.500000	-15.160000	-0.005974	-381.000000
-366.000000	-15.900000	-14.500000	-14.320000	-0.005824	-366.000000
-346.000000	-14.290000	-13.000000	-12.640000	-0.005234	-346.000000
-320.000000	-11.300000	-9.500000	-9.400000	-0.004139	-320.000000
-315.000000	-10.500000	-9.000000	-8.980000	-0.003846	-315.000000
-300.000000	-9.900000	-8.000000	-8.140000	-0.003626	-300.000000
-285.000000	-8.550000	-7.500000	-7.300000	-0.003132	-285.000000
-275.000000	-8.530000	-7.000000	-6.860000	-0.003125	-275.000000
-260.000000	-7.390000	-6.000000	-6.060000	-0.002703	-260.000000
-240.000000	-7.110000	-5.500000	-5.220000	-0.002604	-240.000000
-230.000000	-6.180000	-5.000000	-4.820000	-0.002260	-230.000000
-210.000000	-4.880000	-4.500000	-3.900000	-0.001788	-210.000000
-205.000000	-5.260000	-4.000000	-3.540000	-0.001927	-205.000000
-180.000000	-3.910000	-3.500000	-2.700000	-0.001432	-180.000000
-165.000000	-3.950000	-3.000000	-2.200000	-0.001447	-165.000000
-155.000000	-2.390000	-2.500000	-1.880000	-0.000875	-155.000000
-135.000000	-2.300000	-2.000000	-1.380000	-0.000842	-135.000000
-125.000000	-2.180000	-1.500000	-1.060000	-0.000799	-125.000000
-95.000000	-1.880000	-1.000000	-0.240000	-0.000689	-95.000000
-80.000000	-0.420000	-0.500000	0.260000	-0.000154	-80.000000
-70.000000	-0.900000	0.000000	0.560000	-0.000330	-70.000000
-40.000000	0.240000	0.500000	1.360000	0.000088	-40.000000
30.000000	-1.010000	1.000000	0.060000	-0.000370	30.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
30.000000	-1.010000	1.000000	0.060000	-0.000370	30.000000
60.000000	0.660000	1.500000	0.640000	0.000242	60.000000
80.000000	0.600000	2.000000	1.100000	0.000220	80.000000
95.000000	0.800000	2.500000	1.540000	0.000293	95.000000
110.000000	1.470000	3.000000	1.820000	0.000538	110.000000
125.000000	1.700000	3.500000	2.240000	0.000623	125.000000
155.000000	2.700000	4.000000	3.020000	0.000989	155.000000
170.000000	2.900000	4.500000	3.340000	0.001062	170.000000
185.000000	3.190000	5.000000	3.820000	0.001168	185.000000
205.000000	4.400000	5.500000	4.360000	0.001612	205.000000
215.000000	4.690000	6.000000	5.000000	0.001718	215.000000
245.000000	4.630000	7.000000	5.760000	0.001696	245.000000
270.000000	5.880000	7.500000	6.580000	0.002154	270.000000
285.000000	6.190000	8.000000	7.020000	0.002267	285.000000
310.000000	7.020000	8.500000	7.800000	0.002571	310.000000
336.000000	8.850000	9.500000	8.600000	0.003242	336.000000
346.000000	7.990000	10.000000	9.000000	0.002930	346.000000
371.000000	9.020000	11.000000	9.840000	0.003304	371.000000
381.000000	11.270000	12.000000	11.360000	0.004128	381.000000
421.000000	13.010000	14.000000	13.040000	0.004769	421.000000
441.000000	13.930000	15.000000	13.860000	0.005106	441.000000
476.000000	14.980000	16.500000	15.560000	0.005487	476.000000
506.000000	17.629999	18.000000	17.240000	0.006458	506.000000
521.000000	17.780001	18.500000	18.180000	0.006516	521.000000
546.000000	19.610001	20.000000	19.879999	0.007183	546.000000
551.000000	20.770000	21.500000	21.320000	0.007608	551.000000
586.000000	26.120001	27.000000	26.680000	0.009571	586.000000
606.000000	28.469999	29.000000	28.559999	0.010432	606.000000
636.000000	31.830000	32.500000	32.160000	0.011663	636.000000
656.000000	36.320000	36.000000	35.740002	0.013308	656.000000
